word,id,property,question,sparql
admit,89,admittancedate,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date },When was Alberta admitted as province?
air,226,completionDate,SELECT ?date WHERE { dbr:Friends dbo:completionDate ?date },When was the last episode of the TV series Friends aired? 
assassinate,77,deathPlace,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/deathPlace> ?uri },Where was JFK assassinated? 
attend,248,almaMater,SELECT DISTINCT ?university WHERE { res:Angela_Merkel dbo:almaMater ?university },Which university did Angela Merkel attend?
  ,266,almaMater,ASK WHERE { res:Arnold_Schwarzenegger dbo:almaMater ?x . ?x rdf:type dbo:University },Did Arnold Schwarzenegger attend a university?
bear,243,birthYear,SELECT DISTINCT ?uri WHERE { res:Rachel_Stevens dbo:birthYear ?uri },In which year was Rachel Stevens born? 
  ,252,birthDate,SELECT DISTINCT ?date WHERE { res:John_Adams dbo:birthDate ?date },When was John Adams born?
bear_in  ,3,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri rdf:type onto:Person $ onto:birthPlace res:Heraklion. },Which people were born in Heraklion? 
  ,40,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Swimmer> $ <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Moscow> },Give all swimmers that were born in Moscow. 
  ,43,birthDate,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/President> ; <http://dbpedia.org/ontology/birthDate> ?date FILTER regex(?date, ""^1945"") }",Which presidents were born in 1945? 
  ,69,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) },Give me all actors who were born in Paris after 1950. 
,82,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> } },Which actors were born in Germany? 
  ,86,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> $ <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> },Give me all actors who were born in Berlin. 
  ,169,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/ChessPlayer> $ <http://dbpedia.org/ontology/birthPlace> ?x  <http://dbpedia.org/ontology/deathPlace> ?y FILTER ( ?x = ?y ) },Which Chess players died in the same place they were born in? 
  ,179,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Vienna> $ <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Berlin> },Give me all people that were born in Vienna and died in Berlin. 
  ,318,birthPlace,ASK WHERE { res:Natalie_Portman dbo:birthPlace ?city . ?city dbo:country res:United_States },Was Natalie Portman born in the United States? 
bear_on  ,79,birthDate,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> { ?uri <http://dbpedia.org/ontology/birthDate> ?date } UNION { ?uri <http://dbpedia.org/property/birthDate> ?date } <http://dbpedia.org/resource/Halloween> <http://dbpedia.org/property/date> ?date },Show me everyone who was born on Halloween.
  ,139,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerPlayer> $ <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Malta> },Which soccer players were born on Malta? 
belong_to,59,country,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Island> $ <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Japan> },Give me all islands that belong to Japan.
  ,255,species,SELECT ?species WHERE { dbr:Elephant dbp:species ?species },Which species does an elephant belong? 
border,36,borderingstates,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Illinois> <http://dbpedia.org/property/borderingstates> ?uri },Which states border Illinois? 
build,35,beginningDate,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Statue_of_Liberty> <http://dbpedia.org/property/beginningDate> ?date },When was the Statue of Liberty built? 
bury,95,burialPlace,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> },In which city was the former Dutch queen Juliana buried? 
  ,333,restingPlace,SELECT DISTINCT ?uri WHERE { res:Syngman_Rhee dbo:restingPlace ?uri },Where is Syngman Rhee buried? 
bury_in  ,359,restingPlace,SELECT ?uri WHERE { ?uri dbo:restingPlace dbr:Great_Pyramid_of_Giza },Who was buried in the Great Pyramid of Giza? 
cast_in,133,starring,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?f <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?f <http://dbpedia.org/ontology/starring> ?uri . } ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1,Which actor was casted in the most movies? 
come_up,258,knownFor,SELECT (COUNT(?uri) AS ?count) WHERE { dbr:Albert_Einstein dbo:knownFor ?uri },How many theories did Albert Einstein come up with? 
  ,271,nationality,SELECT DISTINCT ?uri WHERE { res:Miffy dbo:creator ?x . ?x dbo:nationality ?uri },Which country does the creator of Miffy come from? 
commence,356,date,SELECT DISTINCT ?d WHERE { res:Operation_Overlord dbo:date ?d },When did Operation Overlord commence? 
complete,325,completionDate,SELECT DISTINCT ?date WHERE { res:RMS_Titanic dbo:completionDate ?date },When was the Titanic completed? 
compose,259,musicComposer,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> dbo:musicComposer ?uri },Who composed the soundtrack for Cameron's Titanic? 
  ,330,musicComposer,SELECT DISTINCT ?uri WHERE { res:Harold_and_Maude dbo:musicComposer ?uri },Who composed the music for Harold and Maude? 
cost,329,budget,SELECT DISTINCT ?n WHERE { res:The_Lego_Movie dbo:budget ?n },How much did the Lego Movie cost? 
  ,342,budget,SELECT DISTINCT ?n WHERE { res:Pulp_Fiction dbo:budget ?n },How much did Pulp Fiction cost? 
create,19,creator,SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri },Who created the comic Captain America? 
  ,87,creator,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri },Who created Goofy? 
  ,137,creator,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/TelevisionShow> $ <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/John_Cleese> },Which television shows were created by John Cleese? 
  ,200,author,SELECT DISTINCT ?uri WHERE { res:Wikipedia dbo:author ?uri },Who created Wikipedia? 
  ,210,creator,SELECT DISTINCT ?uri WHERE { res:Batman dbo:creator ?uri },Who created Batman? 
  ,321,creator,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:TelevisionShow ; dbo:creator res:Walt_Disney },Which television shows were created by Walt Disney?
  ,365,creator,SELECT DISTINCT ?uri WHERE { res:Family_Guy dbo:creator ?uri },Who created Family Guy? 
cross,48,crosses,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Bridge> $ <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine> },Which bridges cross the Seine? 
  ,224,crosses,SELECT DISTINCT ?uri WHERE { res:Brooklyn_Bridge dbo:crosses ?uri },Which river does the Brooklyn Bridge cross? 
design,350,architect,SELECT DISTINCT ?uri WHERE { res:Brooklyn_Bridge dbo:architect ?uri },Who designed the Brooklyn Bridge? 
develope,2,developer,SELECT DISTINCT ?uri WHERE { res:Skype dbo:developer ?uri. },Who developed Skype? 
  ,14,designer,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Weapon $ dbp:designer ?x . res:Uzi dbp:designer ?x FILTER ( ?uri != res:Uzi ) },Which other weapons did the designer of the Uzi develop?
  ,125,developer,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> },Which software has been developed by organizations founded in California?
  ,37,developer,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri },Who developed Minecraft? 
  ,232,developer,SELECT DISTINCT ?uri WHERE { res:World_of_Warcraft dbo:developer ?uri },Who developed the video game World of Warcraft? 
  ,241,product,SELECT DISTINCT ?uri WHERE { ?uri dbo:product <http://dbpedia.org/resource/Slack_(software)> },Who developed Slack? 
developed_by,153,designer,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Weapon> $ <http://dbpedia.org/property/designer> <http://dbpedia.org/resource/Heckler_&_Koch> },Which weapons did Heckler & Koch develop?
die,7,deathPlace,SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. },Where did Abraham Lincoln die? 
  ,38,deathPlace,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hillel_Slovak> <http://dbpedia.org/ontology/deathPlace> ?uri },Where did Hillel Slovak die? 
  ,399,deathPlace,SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:deathPlace ?uri . ?uri rdf:type dbo:City },In which city did John F. Kennedy die? 
die_in,169,birthPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/ChessPlayer> $ <http://dbpedia.org/ontology/birthPlace> ?x $ <http://dbpedia.org/ontology/deathPlace> ?y FILTER ( ?x = ?y ) },Which Chess players died in the same place they were born in? 
die_from,372,deathCause,SELECT DISTINCT ?uri WHERE { res:Bruce_Carver dbo:deathCause ?uri },What did Bruce Carver die from? 
directed_by,9,director,SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner $ dbo:starring res:William_Shatner { ?x dbo:starring ?uri } UNION { ?x dbp:starring ?uri } },Give me all actors starring in movies directed by and starring William Shatner. 
directed_by ,12,director,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film $ dbo:starring res:Brad_Pitt $ dbo:director res:Guy_Ritchie },Which movies starring Brad Pitt were directed by Guy Ritchie? 
directed_by,63,director,,In which films directed by Garry Marshall was Julia Roberts starring? [directed_by=dbo:director]
directed_by  ,286,director,SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner $ dbo:starring ?uri },Give me all actors starring in movies directed by William Shatner. [directed_by=dbo:director]
directed_by,213,director,,Give me all movies directed by Francis Ford Coppola. [directed_by=dbo:director]
directed_by ,389,director,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film $ dbo:starring res:Mickey_Rourke $ dbo:director res:Guy_Ritchie },Which movies starring Mickey Rourke were directed by Guy Ritchie? [directed_by=dbo:director]
direct ,56,director,SELECT COUNT(DISTINCT ?uri AS ?uri) WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Park_Chan-wook> . },How many movies did Park Chan-wook direct? 
  ,124,starring,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> $ <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Clint_Eastwood> },Which films starring Clint Eastwood did he direct himself? 
,282,director,SELECT DISTINCT ?uri WHERE { ?uri dbo:director res:Stanley_Kubrick },Which films did Stanley Kubrick direct? [direct=dbo:director]
discover,191,discoverer,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> dbo:discoverer ?uri },Who discovered Ceres? [discovered=dbo:discoverer ]
  ,413,discoverer,SELECT ?uri WHERE { dbr:Pluto dbo:discoverer ?uri },Who discovered Pluto? [discovered=dbo:discoverer ]
dissolve,368,dissolutionDate,SELECT DISTINCT ?date WHERE { res:Ming_dynasty dbo:dissolutionDate ?date },When did the Ming dynasty dissolve? [dissolve=dbo:dissolutionDate]
erupt,47,eruptionYear,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Volcano> $ <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Japan> $ <http://dbpedia.org/ontology/eruptionYear> ?date FILTER ( year(?date) >= 2000 ) },Which volcanos in Japan erupted since 2000? [erupted=dbo:eruptionYear]
establish,113,established,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Library> $ <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) },Give me all libraries established earlier than 1400. [established=dbp:established ]
flow into,57,inflow,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> . ?x <http://dbpedia.org/ontology/inflow> ?uri $ a <http://dbpedia.org/ontology/Lake> $ <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> },Which rivers flow into a German lake? [flow_into=dbo:inflow]
found,92,founded,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date },When were the Hells Angels founded? [founded=dbp:founded]
  ,190,foundedBy,SELECT ?uri WHERE { ?uri rdf:type dbo:Pope . res:Vatican_Television_Center dbo:foundedBy ?uri },Who was the pope that founded the Vatican Television? [founded=dbo:foundedBy]
found_in,18,formationYear,"SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Organisation { ?uri dbo:formationYear ?date } UNION { ?uri dbo:foundingYear ?date } UNION { ?uri dbp:foundation ?date } UNION { ?uri dbp:formation ?date } FILTER regex(?date, ""^1950"") }",Which organizations were founded in 1950? [founded_in=dbo:formationYear]
  ,125,foundationPlace,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> },Which software has been developed by organizations founded in California? [founded_in=dbo:foundationPlace]
  ,150,foundingYear,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Organisation> { ?uri <http://dbpedia.org/ontology/formationYear> ?date } UNION { ?uri <http://dbpedia.org/ontology/foundingYear> ?date } FILTER regex(?date, ""^1930"") }",Which organizations were founded in 1930? [found_in=dbo:foundingYear]
  ,263,foundationPlace,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Company $ dbo:industry res:Electronics $ dbo:foundationPlace res:Beijing },Which electronics companies were founded in Beijing? [founded_in=dbo:foundationPlace]
graduate_from,140,almaMater,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> $ <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> },How many politicians graduated from Columbia University? [graduated_from=dbo:almaMater]
grow_in,323,growingGrape,SELECT DISTINCT ?uri WHERE { res:Oregon_wine dbo:growingGrape ?uri },Which types of grapes grow in Oregon?
influence,122,influencedBy,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> $ <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/JavaScript> },Which programming languages influenced Javascript? [influenced=dbo:influenced]
  ,361,influencedBy,ASK WHERE { res:Aristotle dbo:influencedBy res:Socrates },Did Socrates influence Aristotle? [influence=dbo:influencedBy]
influence_by,114,influencedBy,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> { ?uri <http://dbpedia.org/ontology/influencedBy> <http://dbpedia.org/resource/Perl> } UNION { <http://dbpedia.org/resource/Perl> <http://dbpedia.org/ontology/influenced> ?uri } },Which programming languages were influenced by Perl? [influenced_by=dbo:influencedBy]
inspire_by,339,influenced,SELECT DISTINCT ?uri WHERE { ?uri dbo:influenced res:Vincent_van_Gogh },Who was Vincent van Gogh inspired by? [inspired_by=dbo:influenced]
