word,id,property,sparql,,,
amount,111,employees,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/New_York_City_Fire_Department> <http://dbpedia.org/property/employees> ?num },What is the total amount of men and women serving in the FDNY,,
architect,67,architect,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eiffel_Tower> <http://dbpedia.org/ontology/architect> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri },Where did the architect of the Eiffel Tower study?,,
area,209,areaTotal,SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area },How large is the area of UK?,,
author,119,author,SELECT ?books WHERE { ?books dbo:author <http://dbpedia.org/resource/John_Green_(author)> },What other books have been written by the author of The Fault in Our Stars?,,
,238,author,SELECT ?Author WHERE { dbr:The_Interpretation_of_Dreams dbo:author ?Author },Who is the author of the interpretation of dreams?,,
borough,393,governmentType,SELECT DISTINCT ?uri WHERE { ?uri governmentType <http://dbpedia.org/resource/Borough_(New_York_City)> },What are the five boroughs of New York?,,
birth_name,151,birthName,SELECT DISTINCT ?string WHERE { res:Angela_Merkel> dbo:birthName ?string },What is the birth name of Angela Merkel?,,
,233,birthName,SELECT ?bn WHERE { dbr:Adele dbo:birthName ?bn },What is the birth name of Adele?,,
,410,alias,SELECT DISTINCT ?name WHERE { res:Queens_of_the_Stone_Age dbo:alias ?name },What was the first name of the band Queens of the Stone Age?,,
birth_place,313,birthPlace,SELECT DISTINCT ?place WHERE { res:Frank_Sinatra dbo:birthPlace ?place },Give me the birth place of Frank Sinatra.,,
birthplace,197,birthPlace,SELECT ?Goethe WHERE { dbr:Johann_Wolfgang_von_Goethe dbo:birthPlace ?Goethe },Where is the birthplace of Goethe?,,
birthday,141,birthDate,SELECT DISTINCT ?date WHERE { res:Charmed> dbo:starring ?actor . ?actor dbo:birthDate ?date },Give me the birthdays of all actors of the television show Charmed.,,
breed,185,breed,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/breed> <http://dbpedia.org/resource/German_Shepherd> },Give me all breeds of the German Shepherd dog.,,
budget,182,budget,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Steven_Spielberg> . ?uri <http://dbpedia.org/ontology/budget> ?b . FILTER( xsd:double(?b) >= 8.0E7 ) },Give me all films produced by Steven Spielberg with a budget of at least $80 million.,,
capital,55,capital,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?country . ?country <http://dbpedia.org/ontology/capital> ?uri },Give me the capitals of all countries that the Himalayas run through.,,
,256,capital,SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num },How many people live in the capital of Australia?,,
,285,capital,SELECT DISTINCT ?uri WHERE { res:French_Polynesia dbo:capital ?x . ?x dbo:mayor ?uri },Who is the mayor of the capital of French Polynesia?,,
,317,capital,SELECT DISTINCT ?uri WHERE { res:Cameroon dbo:capital ?uri },What is the capital of Cameroon?,,
,380,capital,SELECT DISTINCT ?uri WHERE { res:Canada dbo:capital ?uri },What is the capital of Canada?,,
cause,52,deathCause,SELECT DISTINCT ?x WHERE { ?uri <http://dbpedia.org/ontology/deathCause> ?x . } ORDER BY DESC(COUNT(DISTINCT ?uri)) OFFSET 0 LIMIT 1,What is the most frequent cause of death?,,
child,320,child,SELECT DISTINCT ?uri WHERE { res:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d },Who is the oldest child of Meryl Streep?,,
,275,child,SELECT DISTINCT ?uri WHERE { res:Margaret_Thatcher dbo:child ?uri },List the children of Margaret Thatcher.,,
coach,208,coach,SELECT DISTINCT ?uri WHERE { ?x dbo:city res:Ankara , dbo:league res:Turkish_Ice_Hockey_First_League , dbo:coach ?uri },Who is the coach of Ankara's ice hockey team?
creator,271,creator,SELECT DISTINCT ?uri WHERE { res:Miffy dbo:creator ?x . ?x dbo:nationality ?uri },Which country does the creator of Miffy come from?,,
currency,386,currency,SELECT DISTINCT ?uri WHERE { res:Czech_Republic dbo:currency ?uri },What is the currency of the Czech Republic?,,
,402,currency,SELECT DISTINCT ?uri WHERE { res:China dbo:currency ?uri },Give me the currency of China,,
cause_of_death,52,deathCause,SELECT DISTINCT ?x WHERE { ?uri <http://dbpedia.org/ontology/deathCause> ?x . } ORDER BY DESC(COUNT(DISTINCT ?uri)) OFFSET 0 LIMIT 1,What is the most frequent cause of death?,,
death,239,deathDate,SELECT ?x WHERE { dbr:William_Shakespeare dbo:deathDate ?x } LIMIT 1,When was the death  of  Shakespeare?,,
designer,14,designer,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Weapon , dbp:designer ?x . res:Uzi dbp:designer ?x FILTER ( ?uri != res:Uzi ),Which other weapons did the designer of the Uzi develop?,
developer,212,developer,SELECT DISTINCT ?uri WHERE { res:DBpedia dbo:developer ?uri },Who are the developers of DBpedia?,,
daughter,27,child,SELECT DISTINCT ?uri WHERE { res:Ingrid_Bergman dbo:child ?child . ?child <http://dbpedia.org/property/spouse> ?uri },Who is the daughter of Ingrid Bergman married to?,,
editor,220,editor,SELECT DISTINCT ?uri WHERE { res:Forbes dbo:editor ?uri },Who is the editor of Forbes?,,
elevation,216,elevation,SELECT ?ele WHERE { dbr:D?sseldorf_Airport dbo:elevation ?ele } LIMIT 1,how much is the elevation of D?sseldorf Airport ?,,
founding_date,218,foundingDate,SELECT ?ff WHERE { dbr:French_Fifth_Republic dbo:foundingDate ?ff },when was the founding date of french fifth republic?,,
form_of_government,303,governmentType,SELECT ?uri WHERE { dbr:South_Africa dbo:governmentType ?uri },What form of government is found in South Africa?,,
,382,governmentType,SELECT DISTINCT ?uri WHERE { res:Russia dbo:governmentType ?uri },What form of government does Russia have?,,
founder,396,founder,SELECT DISTINCT ?uri WHERE { res:Penguin_Books dbo:founder ?uri },Who is the founder of Penguin Books?,,
founding_date,218,foundingDate,SELECT ?ff WHERE { dbr:French_Fifth_Republic dbo:foundingDate ?ff },when was the founding date of french fifth republic?,,
governor,66,governor,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyoming> <http://dbpedia.org/property/governor> ?uri },Who is the governor of Wyoming?,,
grandchildren,13,child,SELECT DISTINCT ?uri WHERE { res:Bruce_Lee dbo:child ?child . ?child <http://dbpedia.org/property/children> ?uri },Give me the grandchildren of Bruce Lee.,,
,367,child,SELECT DISTINCT ?uri WHERE { res:Elvis_Presley dbo:child ?child . ?child dbo:child ?uri },Give me the grandchildren of Elvis Presley,,
host,352,presenter,SELECT DISTINCT ?uri WHERE { res:BBC_Wildlife_Specials dbo:presenter ?uri },Who is the host of the BBC Wildlife Specials?,,
location,215,location,SELECT ?uri WHERE { res:Palace_of_Westminster dbo:location ?uri },What is the location of the Houses of Parliament?,,
member,127,alliance,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> , <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> },How many airlines are members of the Star Alliance?,
,296,bandMember,SELECT DISTINCT ?uri WHERE { res:The_Prodigy dbo:bandMember ?uri },,,
manager,146,manager,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Real_Madrid_C.F.> <http://dbpedia.org/ontology/manager> ?uri },Who is the manager of Real Madrid?,,
mayor,5,leaderName,SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri },Who is the mayor of New York City?,,
,265,mayor,SELECT DISTINCT ?uri WHERE { res:Paris dbo:mayor ?uri },Who is the mayor of Paris?,,
,285,mayor,SELECT DISTINCT ?uri WHERE { res:French_Polynesia dbo:capital ?x . ?x dbo:mayor ?uri },Who is the mayor of the capital of French Polynesia?,,
,300,leaderName,SELECT DISTINCT ?uri WHERE { res:Rotterdam dbo:leaderName ?uri },Who is the mayor of Rotterdam?,,
,310,mayor,SELECT DISTINCT ?uri WHERE { res:Paris dbo:mayor ?x . ?x dbo:party ?uri },To which party does the mayor of Paris belong?,,
,381,leaderName,SELECT DISTINCT ?uri WHERE { res:Tel_Aviv dbo:leaderName ?uri },Who is the mayor of Tel Aviv?,,
origin,242,origin,SELECT ?uri WHERE { dbr:Carolina_Reaper dbo:origin ?uri},Where is the origin of Carolina reaper?,,
owner,15,owner,SELECT DISTINCT ?uri WHERE { res:Universal_Studios dbo:owner ?uri },Who is the owner of Universal Studios?,,
,75,owner,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rolls-Royce_Motors> <http://dbpedia.org/ontology/owner> ?uri },Who is the owner of Rolls-Royce?,,
,170,foundedBy,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri },Who is the owner of Facebook?,,
part,116,alliance,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Airline> { ?uri <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/SkyTeam> } UNION { ?uri <http://dbpedia.org/ontology/Alliance> <http://dbpedia.org/resource/SkyTeam> } },What airlines are part of the SkyTeam alliance?,,
population,217,populationTotal,SELECT ?Mexico_City WHERE { dbr:Mexico_City dbo:populationTotal ?Mexico_City },How much is the population of mexico city ?,,
,230,populationTotal,SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },how much is the total population of  european union?,,
,234,populationTotal,SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop },What is the population of Cairo?,,
population_densty_rank,288,populationDensityRank,SELECT ?rank WHERE { dbr:Germany dbp:populationDensityRank ?rank },how much is the population densty rank of germany?,,
president,398,leaderTitle,"SELECT DISTINCT ?uri WHERE { res:Eritrea dbo:leader ?uri ; dbo:leaderTitle \""President\""@en }",Who is the president of Eritrea?,,
son,315,parent,SELECT DISTINCT ?uri WHERE { ?uri dbo:parent res:Cher , dbo:parent res:Sonny_Bono },Who is the son of Sonny and Cher?,
residence,132,residence,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri },Where is the residence of the prime minister of Spain?,,
result,341,result,SELECT DISTINCT ?result WHERE { ?uri dbo:isPartOfMilitaryConflict dbr:Wars_of_the_Roses , dbo:result ?result , dbo:date ?date } ORDER BY DESC(?date) OFFSET 0 LIMIT 1,What was the final result of the War of the Roses?
runtime,260,runtime,SELECT DISTINCT ?runtime WHERE { res:Toy_Story dbo:runtime ?runtime },Give me the runtime of Toy Story,,
speciality,176,speciality,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/UNC_Health_Care> <http://dbpedia.org/property/speciality> ?uri },What are the specialities of the UNC Health Care?,,
subsidiary,373,subsidiary,SELECT DISTINCT ?uri WHERE { res:Lufthansa dbo:subsidiary ?uri . ?uri dbo:targetAirport res:Dortmund_Airport , dbo:targetAirport res:Berlin_Tegel_Airport },Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,
successor,264,successor,SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:successor ?uri },Who was the successor of John F. Kennedy?,,
total_area,278,areaTotal,SELECT ?tarea WHERE { dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea },how big is the total area of North Rhine- Westphalia?,,
total_population,353,populationTotal,"SELECT ?uri WHERE { <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri }","What is the total population of Melbourne, Florida?",,
time_zone,297,timeZone,SELECT DISTINCT ?uri WHERE { res:Rome dbo:timeZone ?uri },In which time zone is Rome?,,
vice_president,270,vicePresident,SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:vicePresident ?uri },Who was John F. Kennedy's vice president?,,
wife,227,spouse,"ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, \""Michelle\"") }",Is the wife of president Obama called Michelle?,,
,245,spouse,"ASK WHERE { res:Abraham_Lincoln dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, \""Mary\"") }",Was the wife of president Lincoln called Mary?,,
,254,spouse,SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:spouse ?uri },Who was the wife of U.S. president Lincoln?,,
,376,spouse,ASK WHERE { res:Barack_Obama dbo:spouse res:Michelle_Obama },Is Michelle Obama the wife of Barack Obama?,,
,405,spouse,ASK WHERE { res:Tom_Hanks dbo:spouse res:Rita_Wilson },Is Rita Wilson the wife of Tom Hanks?,,
work,236,author,SELECT ?book WHERE { { ?book dbo:author dbr:Dan_Brown . ?book dbp:releaseDate ?date } UNION { ?book dbo:author dbr:Dan_Brown . ?book dbo:publicationDate ?date} } ORDER BY DESC(xsd:date(?date)) LIMIT 1,What is the last work of Dan Brown?,,
writer,299,writer,SELECT ?writers WHERE { dbr:The_Wall dbp:writer ?writers },Who are the writers of the Wall album of Pink Floyd?,,
